SIM,Tipo,Configurazione,CL,Cd,Path
RESULT_LUCA,withNose,s1223_eppler61_naso,-2.310756,0.348261,RESULT_LUCA/withNose/s1223_eppler61_naso/results.txt
RESULT_LUCA,withNose,naca4412_eppler61_naso,-2.476482,0.256611,RESULT_LUCA/withNose/naca4412_eppler61_naso/results.txt
RESULT_LUCA,withNose,naca4412_wortmannfx082-512_naso,-2.372053,0.249199,RESULT_LUCA/withNose/naca4412_wortmannfx082-512_naso/results.txt
RESULT_DANI,No Naso,Eppler_396_Be_092_075,-1.208539819,0.1957182916,RESULT_DANI/No Naso/Eppler_396_Be_092_075/Result.txt
RESULT_DANI,No Naso,Be_183_105_GOE_431,-0.09922792796,0.2259483713,RESULT_DANI/No Naso/Be_183_105_GOE_431/Result.txt
RESULT_DANI,No Naso,Be_183_105_Be_123_076,-0.08793082203,0.2235674205,RESULT_DANI/No Naso/Be_183_105_Be_123_076/Result.txt
RESULT_DANI,No Naso,Be_183_105_Eppler61,-0.1121179634,0.2241760225,RESULT_DANI/No Naso/Be_183_105_Eppler61/Result.txt
RESULT_DANI,No Naso,Be_153_055_Eppler61,-1.117139411,0.2146791564,RESULT_DANI/No Naso/Be_153_055_Eppler61/Result.txt
RESULT_DANI,No Naso,Be_183_105_WortmannFx_082_512,-0.06632960747,0.2164184493,RESULT_DANI/No Naso/Be_183_105_WortmannFx_082_512/Result.txt
RESULT_DANI,No Naso,Be_153_055_S1210,-1.105693024,0.2235559762,RESULT_DANI/No Naso/Be_153_055_S1210/Result.txt
RESULT_DANI,No Naso,Eppler_396_S1210,-1.242343,0.204603,RESULT_DANI/No Naso/Eppler_396_S1210/Result.txt
RESULT_DANI,No Naso,Eppler_396_GOE_431,-1.203316788,0.1952307284,RESULT_DANI/No Naso/Eppler_396_GOE_431/Result.txt
RESULT_DANI,No Naso,Be_153_055_Be_092_075,-1.112736651,0.2216693465,RESULT_DANI/No Naso/Be_153_055_Be_092_075/Result.txt
RESULT_DANI,No Naso,Eppler_396_WortmannFx_082_512,-1.175707236,0.1867947071,RESULT_DANI/No Naso/Eppler_396_WortmannFx_082_512/Result.txt
RESULT_DANI,No Naso,Be_153_055_WortmannFx_082_512,-1.050070051,0.2072841572,RESULT_DANI/No Naso/Be_153_055_WortmannFx_082_512/Result.txt
RESULT_DANI,No Naso,Be_183_105_S1210,-0.08880164815,0.2269329829,RESULT_DANI/No Naso/Be_183_105_S1210/Result.txt
RESULT_DANI,No Naso,Be_183_105_Be_092_075,-0.0914719764,0.2252180251,RESULT_DANI/No Naso/Be_183_105_Be_092_075/Result.txt
RESULT_DANI,No Naso,Eppler_396_Be_123_076,-1.205538735,0.1962500649,RESULT_DANI/No Naso/Eppler_396_Be_123_076/Result.txt
RESULT_DANI,No Naso,Be_153_055_Be_123_076,-1.071355198,0.212896316,RESULT_DANI/No Naso/Be_153_055_Be_123_076/Result.txt
RESULT_DANI,No Naso,Be_153_055_GOE_431,-1.08093602,0.2175654747,RESULT_DANI/No Naso/Be_153_055_GOE_431/Result.txt
RESULT_DANI,No Naso,Eppler_396_Eppler61,-1.24735098,0.192775546,RESULT_DANI/No Naso/Eppler_396_Eppler61/Result.txt
RESULT_DANI,Naso,Be_183_105_Be_123_076_Naso,-1.116166875,0.3903428634,RESULT_DANI/Naso/Be_183_105_Be_123_076_Naso/Result.txt
RESULT_DANI,Naso,Be_153_055_S1210_Naso,-2.22688641,0.3179408146,RESULT_DANI/Naso/Be_153_055_S1210_Naso/Result.txt
RESULT_DANI,Naso,Be_183_105_WortmannFx_082_512_Naso,-1.054553787,0.3639459805,RESULT_DANI/Naso/Be_183_105_WortmannFx_082_512_Naso/Result.txt
RESULT_DANI,Naso,Eppler_396_S1210_Naso,-2.364638076,0.3105035557,RESULT_DANI/Naso/Eppler_396_S1210_Naso/Result.txt
RESULT_DANI,Naso,Be_153_055_GOE_431_Naso,-2.223505119,0.3177791156,RESULT_DANI/Naso/Be_153_055_GOE_431_Naso/Result.txt
RESULT_DANI,Naso,Be_153_055_Eppler61_Naso,-2.168407,0.298664,RESULT_DANI/Naso/Be_153_055_Eppler61_Naso/Result.txt
RESULT_DANI,Naso,Eppler_396_Eppler61_Naso,-2.341382696,0.2885041174,RESULT_DANI/Naso/Eppler_396_Eppler61_Naso/Result.txt
RESULT_DANI,Naso,Be_183_105_Eppler61_Naso,-1.074703,0.37117,RESULT_DANI/Naso/Be_183_105_Eppler61_Naso/Result.txt
RESULT_DANI,Naso,Be_183_105_Be_092_075_Naso,-1.099209,0.381549,RESULT_DANI/Naso/Be_183_105_Be_092_075_Naso/Result.txt
RESULT_DANI,Naso,Be_183_105_GOE_431_Naso,-1.121596,0.393909,RESULT_DANI/Naso/Be_183_105_GOE_431_Naso/Result.txt
RESULT_DANI,Naso,Be_153_055_Be_092_075_Naso,-2.206502203,0.3086846647,RESULT_DANI/Naso/Be_153_055_Be_092_075_Naso/Result.txt
RESULT_DANI,Naso,Eppler_396_GOE_431_Naso,-2.365635806,0.3133186128,RESULT_DANI/Naso/Eppler_396_GOE_431_Naso/Result.txt
RESULT_DANI,Naso,Eppler_396_Be_092_075_Naso,-2.36837643,0.3047731766,RESULT_DANI/Naso/Eppler_396_Be_092_075_Naso/Result.txt
RESULT_DANI,Naso,Eppler_396_Be_123_076_Naso,-2.380673487,0.3085449269,RESULT_DANI/Naso/Eppler_396_Be_123_076_Naso/Result.txt
RESULT_DANI,Naso,Be_153_055_WortmannFx_082_512_Naso,-2.123880375,0.2848098566,RESULT_DANI/Naso/Be_153_055_WortmannFx_082_512_Naso/Result.txt
RESULT_DANI,Naso,Eppler_396_WortmannFx_082_512_Naso,-2.284515612,0.2772292264,RESULT_DANI/Naso/Eppler_396_WortmannFx_082_512_Naso/Result.txt
RESULT_DANI,Naso,Be_183_105_S1210_Naso,-1.120219,0.392542,RESULT_DANI/Naso/Be_183_105_S1210_Naso/Result.txt
RESULT_DANI,Naso,Be_153_055_Be_123_076_Naso,-2.22311123,0.3140009976,RESULT_DANI/Naso/Be_153_055_Be_123_076_Naso/Result.txt
